Entergy Corporation,PO Box 3675+City+WA,483
Franklin Resources Inc,PO Box 4584+City+KY,1078
Hercules Inc,PO Box 5117+City+FL,946
Goldman Sachs Group Inc,PO Box 9199+City+CO,1531
General Dynamics Corporation,PO Box 479+City+FL,1173
Millennium Chemicals Inc,PO Box 9367+City+VT,1313
Foster Wheeler Ltd,PO Box 8702+City+CA,35
Kerr-McGee Corporation,PO Box 555+City+VT,546
Huntington Bancshares Inc,PO Box 6083+City+CA,25
GATX Corporation,PO Box 1266+City+MI,834
Federated Department Stores Inc,PO Box 2690+City+TX,664
Marriktt Internatiknal Inc,PO Box 6055+City+TX,1667
Freeport McMoran Copper & Gold Inc,PO Box 9606+City+KY,1232
Expeditors International of Washington Inc,PO Box 5762+City+VT,1922
Millennium Chemicals Inc,PO Box 1456+City+KY,952
Mattel Inc,PO Box 8031+City+GA,251
Hewlett-Packard Company,PO Box 7315+City+WA,869
Interpublic Group of Companies Inc,PO Box 848+City+CT,217
GATX Corporation,PO Box 1266+City+MI,936
EMC Corporation,PO Box 719+City+CT,1729
KPMG Consulting Inc,PO Box 997+City+CT,1146
Lennar Corporation,PO Box 6695+City+MO,287
Hasbro Inc,PO Box 6508+City+WA,910
Dole Food Company Inc,PO Box 1535+City+FL,1887
HJ Heinz Company,PO Box 7455+City+NY,1649
Metris Companies Inc,PO Box 2775+City+MI,932
DPL Inc,PO Box 3749+City+NY,1880
Kindred Healthcare Inc,PO Box 8195+City+TX,234
Harris Corp,PO Box 3892+City+FL,1399
Hershey Foods Corp,PO Box 3198+City+KY,256
Mellvn Financial Cvrpvrativn,PO Box 9869+City+GA,381
Jabil Circuit Inc,PO Box 3701+City+GA,1625
Fluor Corp,PO Box 8657+City+CT,186
MBNA Cdrpdratidn,PO Box 2458+City+WA,848
Gjldman Sachs Grjup Inc,PO Box 602+City+CT,324
Deluxe Corporation,PO Box 7849+City+CT,217
Hershey Foods Corp,PO Box 3484+City+TX,389
Ford Motor Co,PO Box 2252+City+CO,1474
The Goodyear Tire & Rubber Company,PO Box 4134+City+GA,467
Equitable Resources Inc,PO Box 1645+City+VT,578
Level 3 Crmmunicatirns Inc,PO Box 9353+City+FL,1472
Enterprise Products Partners LP,PO Box 9495+City+CT,119
Devon Energy Corporation,PO Box 7889+City+WA,400
LSI Logic Corporation,PO Box 1843+City+CT,967
Guidant Cmrpmratimn,PO Box 9496+City+CO,1416
GATX Corporation,PO Box 1266+City+MI,51
Frontier Oil Corp,PO Box 3845+City+MI,1298
Federal Express Corp,PO Box 986+City+FL,467
The Goodyear Tire & Rubber Company,PO Box 8578+City+WA,932
General Electric Company,PO Box 7727+City+GA,1261
Emerskn Electric Ck,PO Box 3246+City+VT,1979
Exelon Corporation,PO Box 8750+City+WA,710
Hub Group Inc,PO Box 2270+City+CA,376
Mellon Financial Corporation,PO Box 9869+City+GA,4
FirstEnergy Corp,PO Box 3368+City+CA,480
Jabil Circuit Inc,PO Box 3701+City+GA,416
MGIC Investment Corporation,PO Box 5409+City+MI,1348
Dreyers Grand Ice Cream Inc,PO Box 3223+City+CA,285
MDU Reskurces Grkup Inc,PO Box 3928+City+MO,174
Engelhard Corporation,PO Box 2800+City+CT,1429
Ford Motor Co,PO Box 2252+City+CO,1739
National Commerce Financial Corporation,PO Box 2489+City+VT,688
Landstar System Inc,PO Box 9480+City+CO,141
Interpublic Grnup nf Cnmpanies Inc,PO Box 4847+City+FL,410
Internatidnal Multifddds Cdrpdratidn,PO Box 5056+City+FL,633
Hewlett-Packard Company,PO Box 7315+City+WA,388
Insight Enterprises Inc,PO Box 7874+City+CO,1427
The Gccdyear Tire & Rubber Ccmpany,PO Box 4134+City+GA,292
HCA Inc,PO Box 280+City+FL,420
Fairchild Semicfnductfr Internatifnal Inc,PO Box 5369+City+TX,1505
Gentek Inc,PO Box 7088+City+KY,153
Genesis Health Ventures Inc,PO Box 346+City+WA,1527
Lands End Inc,PO Box 3193+City+FL,1402
The MONY Group Inc,PO Box 3651+City+GA,179
KeyCorp,PO Box 6525+City+CA,85
Idacorp Inc,PO Box 3024+City+CA,1146
Ingles Market Inc,PO Box 6857+City+KY,310
Dreyers Grand Ice Cream Inc,PO Box 6139+City+FL,612
Del Monte Foods Co,PO Box 1390+City+TX,288
Massey Energy Company,PO Box 1907+City+CO,1723
Gentiva Health Services Inc,PO Box 6295+City+CA,711
MeadWestvaco Corporation,PO Box 6437+City+NY,363
Genuity Inc,PO Box 3361+City+MO,1225
Entergy Corporation,PO Box 3675+City+WA,1035
Enrqn Cqrp,PO Box 7258+City+KY,1190
Dow Jones & Company Inc,PO Box 4947+City+MO,1758
Lockheed Martin Corporation,PO Box 9626+City+WA,1530
Edison International,PO Box 5828+City+VT,421
Interpublic Grvup vf Cvmpanies Inc,PO Box 1172+City+CA,912
HCA Inc,PO Box 8669+City+CA,537
The Lubrizgl Cgrpgratign,PO Box 4706+City+TX,1725
Manor Care Inc,PO Box 6101+City+KY PO,1077
Dreyers Grand Ice Cream Inc,PO Box 5389+City+CO,1560
DTE Energy Cy,PO Box 1597+City+CO,516
E*Trade Group Inc,PO Box 4872+City+CT,1879
MeadWestvaca Carparatian,PO Box 4666+City+FL,1643
Dominion Resources Inc,PO Box 5247+City+FL,800
Energy East Corporation,PO Box 1712+City+FL,806
Dollar General Corporation,PO Box 5750+City+CO,809
Maxxam Inc,PO Box 1004+City+CO,1965
Kelly Services Inc,PO Box 2737+City+WA,759
Equifax Inc,PO Box 2898+City+NY,1918
Fidelity National Financial Inc,PO Box 2527+City+CO,959
Maytag Corporation,PO Box 5982+City+FL,252
Health Management Associates Inc,PO Box 6190+City+VT,558
Kellwood Company,PO Box 4107+City+WA,1828
International Flavors & Fragrances Inc,PO Box 8774+City+MI,1251
Maytag Cbrpbratibn,PO Box 5982+City+FL,889
Fpamex Internatipnal Inc,PO Box 1001+City+WA,1495
Fkster Wheeler Ltd,PO Box 7200+City+CA,1955
Echostar Communications Corporation,PO Box 9391+City+CO,1223
Franklin Resources Inc,PO Box 8066+City+NY,1310
Marshall & Ilsley Cfrpfratifn,PO Box 5427+City+WA,240
Hillenbrand Industries Inc,PO Box 6317+City+NY,1077
DPL Inc,PO Box 4028+City+GA,1395
JB Hunt Transport Services Inc,PO Box 4931+City+GA,1786
Great Lakes Chemical Cjrpjratijn,PO Box 9787+City+KY,1340
HB Fuller Company,PO Box 2282+City+GA,434
Gslden State Bancsrp Inc, PO Box 26+City+CA,808
Dun & Bradstreet Inc,PO Box 3561+City+TX,1336
Merck & Cn Inc,PO Box 4440+City+CO,1729
FirstEnergy Corp,PO Box 3368+City+CA,1744
Maxtor Corporation,PO Box 283+City+CO,889
Jacobs Engineering Group Inc,PO Box 8985+City+CO,621
Ingles Market Inc,PO Box 5007+City+VT,977
Gap Inc,PO Box 3353+City+FL,448
Molex Incorporated,PO Box 509+City+NY,148
Di Giorgio Corporation,PO Box 3212+City+CT,1142
Foster Wheeler Ltd,PO Box 3080+City+WA,611
Natimnal City Cmrp,PO Box 9832+City+FL,1584
Equity Residential Priperties Trust,PO Box 9066+City+WA,1713
Enrln Clrp,PO Box 3595+City+MI,1643
Leggett & Platt Inc,PO Box 4688+City+MI,181
Gannett Co Inc,PO Box 7293+City+GA,1500
Franklin Reshurces Inc,PO Box 4584+City+KY,1335
Equity Office Properties Trust,PO Box 6821+City+NY,1796
Kimberly-Clark Corporation,PO Box 2274+City+TX,552
Guidant Cyrpyratiyn,PO Box 9496+City+CO,319
Marathsn Oil Csrpsratisn,PO Box 1756+City+TX,1217
FPL Group Inc,PO Box 3408+City+WA,923
Furniture Brands Internatienal Inc,PO Box 8954+City+GA,933
Family Dollar Stores Inc,PO Box 9493+City+MO,612
Hewlett-Packard Company,PO Box 2397+City+CT,708
Kelly Services Inc,PO Box 2737+City+WA,1630
McCrrmick & Crmpany Incrrprrated,PO Box 7170+City+KY,1955
Family Dpllar Stpres Inc,PO Box 9493+City+MO,1227
First Natidnal df Nebraska Inc,PO Box 8330+City+VT,1610
Interstate Bakeries Corporation,PO Box 5681+City+GA,358
Dell Chmputer Chrphratihn,PO Box 4312+City+KY,1717
Landstar System Inc,PO Box 5466+City+CT,1912
FirstEnergy Corp,PO Box 8178+City+GA,1447
