Flowserv Corp,PO Box 5655+City+NY,24
Martin Marietta Materials Inc,PO Box 4387+City+TX,951
Kennametal Inc,PO Box 2050+City+WA,1688
Eaton Corporation,PO Box 5955+City+VT,399
Lithia Motors Inc,PO Box 99+City+CO,1249
First Data Corp,PO Box 6765+City+FL,919
Michaels Stores Inc,PO Box 5316+City+WA,1885
Interstate Bakeries Corporation,PO Box 3008+City+CO,1144
Farmland Industries Inc,PO Box 3539+City+CA,159
Foot Locker Inc,PO Box 4270+City+FL,1564
Express Scripts Inc,PO Box 8764+City+TX,265
Federated Department Stores Inc,PO Box 2690+City+TX,639
Maytag Corporation,PO Box 3911+City+KY,1738
Jefferson-Pilot Co,PO Box 3053+City+WA,1430
Nabors Industries Inc,PO Box 7429+City+KY,840
Golden West Financial Corporation,PO Box 9456+City+NY,279
MGIC Investment Corporation,PO Box 2620+City+GA,1511
Goodrich Corporation,PO Box 7639+City+CA,1617
HJ Heinz Company,PO Box 7455+City+NY,81
Kelly Services Inc,PO Box 9166+City+KY,549
Guidant Corporation,PO Box 8556+City+CA,136
Merck & Co Inc,PO Box 4440+City+CO,1225
Furniture Brands International Inc,PO Box 2270+City+CA,1962
Maytag Corporation,PO Box 3911+City+KY,1007
Metris Companies Inc,PO Box 1710+City+TX,1382
Kimberly-Clark Corporation,PO Box 2274+City+TX,1985
Engelhard Corporation,PO Box 5954+City+NY,1106
Harman International Industries Inc,PO Box 4430+City+TX,1952
KLA-Tencor Corporation,PO Box 1204+City+FL,20
Hovnanian Enterprises Inc,PO Box 5636+City+KY,632
ITT Industries Inc,PO Box 1372+City+KY,1570
Harrahs Entertainment Inc,PO Box 16+City+CO,91
KLA-Tencor Corporation,PO Box 7148+City+CT,1092
Gentiva Health Services Inc,PO Box 4973+City+WA,916
Linens n Things Inc,PO Box 8470+City+KY,564
First Tennessee National Corp,PO Box 2241+City+KY,1233
International Business Machines Corp,PO Box 8618+City+MI,1670
Marsh Supermarkets Inc,PO Box 4866+City+MI,1566
Maxxam Inc,PO Box 1004+City+CO,1055
Fleming Companies Inc,PO Box 318+City+NY,1192
Merck & Co Inc,PO Box 9594+City+CO,78
Enterprise Products Partners LP,PO Box 1298+City+NY,1891
Kimberly-Clark Corporation,PO Box 6305+City+MO,1007
Electronic Data Systems Corp,PO Box 4337+City+VT,135
Lyondell Chemical Company,PO Box 5673+City+CA,563
Dillards Inc,PO Box 222+City+KY,1500
Encompass Services Corporation,PO Box 5164+City+CA,1657
La-Z-Boy Inc,PO Box 6622+City+FL,1925
Genesis Health Ventures Inc,PO Box 1561+City+MI,753
KB Home,PO Box 4456+City+KY,1874
Hilton Hotels Corp,PO Box 2571+City+WA,1133
Loews Corporation,PO Box 1383+City+FL,1871
Hillenbrand Industries Inc,PO Box 2693+City+KY,909
DQE Inc,PO Box 526+City+MO,1099
Lennox International Inc,PO Box 3652+City+TX,574
National Commerce Financial Corporation,PO Box 2489+City+VT,1259
E*Trade Group Inc,PO Box 4872+City+CT,697
Fiserv Inc,PO Box 2893+City+GA,1350
IT Group Inc,PO Box 8302+City+TX,470
Mail-Well Inc,PO Box 3420+City+CT,163
MDC Holdings Inc,PO Box 3989+City+GA,1314
HB Fuller Company,PO Box 664+City+NY,1924
Exelon Corporation,PO Box 8969+City+MI,191
Lennar Corporation,PO Box 6924+City+KY,222
Metals USA Inc,PO Box 5435+City+CO,1994
Kennametal Inc,PO Box 641+City+MO,498
Enterprise Products Partners LP,PO Box 1298+City+NY,1590
IMC Global Inc,PO Box 9898+City+TX,1129
Dell Computer Corporation,PO Box 4377+City+FL,386
Jacobs Engineering Group Inc,PO Box 8985+City+CO,833
Markel Corporation,PO Box 159+City+NY,1666
Marsh & McLennan Companies Inc,PO Box 3298+City+CO,1604
Hawaiian Electric Industries Inc,PO Box 5939+City+CO,1424
Molex Incorporated,PO Box 5249+City+CA,1293
FleetBoston Financial Co,PO Box 6557+City+CA,1149
First Data Corp,PO Box 3398+City+CT,1799
Kerr-McGee Corporation,PO Box 4191+City+WA,589
Maxxam Inc,PO Box 32+City+FL,1320
Halliburton Co,PO Box 8309+City+TX,1684
Expeditors International of Washington Inc, PO Box 4372+City+WA,1786
Ferro Corp,PO Box 8422+City+KY,266
Frontier Oil Corp,PO Box 7229+City+MI,251
DURA Automotive Systems Inc,PO Box 8055+City+MO,315
Hershey Foods Corp,PO Box 3198+City+KY,1739
Duke Energy Corp,PO Box 1542+City+VT,155
Medtronic Inc,PO Box 4361+City+CT,196
Kimberly-Clark Corporation,PO Box 371+City+MO,1906
Herman Miller Inc,PO Box 8239+City+WA,990
Mattel Inc,PO Box 8031+City+GA,1168
Gentiva Health Services Inc,PO Box 6295+City+CA,864
Morgan Stanley Dean Witter & Co,PO Box 4004+City+VT,552
